감정_대분류	문장
3	재정적으로 큰 사기를 당한 이후로 모든 사람들을 믿을 수 없게 되었어.왜 나는 사람들을 믿을 수 없는 걸까 생각하니 마음이 답답하고 눈물이 나.맞아. 그래도 점점 더 나아지고 있으니까 다행이라고 생각하고 점점 더 극복해야지.
5	산책하던 중에 갑자기 자전거가 튀어나와 팔목이 부러졌지 뭐야.자전거 사고를 낸 아이 엄마는 나도 잘못이 있다며 치료비를 물어줄 수 없다고 하니 미칠 노릇이야.갑자기 빠른 속도로 튀어나온 건 그 아이야. 블랙박스 증거 영상을 제시해서 치료비를 요구해야겠어.
3	모든 게 끝난 느낌이야. 투자했던 주식이 폭락했어.이제 아무것도 못 할 것 같아. 모든 게 마비된 것 같아. 
5	시댁에 가면 의지할 사람이 아무도 없어.남편도 나를 잘 도와주지 않아서 더 힘든 것 같아.남편에게 내가 느끼는 감정을 말해야 할 것 같아.
5	병을 앓으면서 친하게 지내던 동호회 사람들과 멀어졌어.친했는데 요즘에는 연락도 잘 안 해.내가 먼저 연락을 하고 병이 나으면 동호회 모임에 자주 참석해야겠어.
5	딸이 또 공무원 시험에 떨어졌대. 애쓰는 걸 지켜봐서 그런지 내 마음도 괴롭네.내가 도와줄 수 있는 일이 아니라 더 괴로워. 기약이 없으니 더 힘들 것 같고.
3	제대로 된 노후준비도 못 한 채로 은퇴를 하게 생겼어. 앞날이 막막해.노후준비를 어떻게 해나가야 할까 많은 고민이 필요하겠어.한 번 찾아봐야지. 그래도 당장은 정말 막막하다.
3	나는 아이를 낳기 싫어.아이를 키우면 돈이 너무 많이 들잖아.
3	부인이 다른 집 남편들과 나를 비교해. 나는 위축되는 기분이고 이게 꿈에 그리던 신혼 생활이 맞나 싶어.아니. 그래도 계속 함께할 사이인데 이러한 점은 서로 얘기하며 푸는 것이 낫겠지?
5	진짜 공부 못하던 친구가 우리 회사에 합격했대. 너무 배 아파.걔는 스펙도 낮은데 어떻게 우리 회사에 왔을까? 짜증이 난다.생각을 말아야지. 그냥 나는 내 일만 해야겠어.
5	이번에는 최종 합격했다고 생각했는데 또 떨어졌어.부모님한테도 아무 말 못 하고 있어. 결과만을 기다리고 있으실 텐데.
5	나한테 오늘 위암 말기 판정이 나왔어.지금까지 착하게 살아왔다고 생각했는데 큰 병이 생겨서 억울해.마지막으로 내가 살면서 해보고 싶었던 걸 다 하고 가고 싶어.
3	딸이 내 생일에 홍삼을 사 오겠다고 해 놓고는 빈손으로 와서 서운했어.선물이 아니라 현금만 주니까 나를 귀찮아하는 것 같아.딸에게 말하면 선물을 밝히는 사람 같아 보일까 봐 못 하겠어.
3	이젠 친구들 전화도 띄엄띄엄 오고 참 한심스럽네.그렇지. 맨날 광고 전화나 쓸데없는 카톡이나 오고 인생이 덧없이 슬프구먼.
5	친구가 재혼했는데 엄청 연하에 잘 생겼더라고. 질투가 다 나더라.어떻게 그런 남자를 만났는지 참 운도 좋지.그 친구에게 나름의 매력이 있으니까라고 인정하려고 노력 중이야.
5	친한 사람을 믿고 돈을 빌려줬는데 그 사람이 안 갚고 있어서 답답하네.참나. 빌려 달라고 할 때는 금세 갚을 것처럼 빌려 가더니 막상 빌려 주니까 모른 척 하네.
5	친구들이 여행을 가자고 했지만 가난한 탓에 거절했고 상처를 받았어.친구들은 나를 잘 챙겨주는데 집안 형편을 생각해야 하는 상황에 상처받아.여행 자금을 벌기 위해 아르바이트를 할까 해.
3	최근에 동아리에서 만난 사람들이 너무 겉과 속이 다른 것 같아. 내 앞에서는 항상 웃어주고 칭찬만 해줬는데 뒤에서는 나를 평가하고 욕하고 있었어. 어떻게 해야 이 기분과 문제를 해결할 수 있을지 잘 모르겠어. 
3	자식들에게 요즘 미안한 마음만 들어서 눈물이 나.자식들이 내 재산을 탐내는 게 눈에 보이는데 자식들도 사정이 안 좋아서 그러는 거라 슬퍼.유산을 조금 정리해서 자식들에게 줄까 하는 생각도 들어.
5	부모님의 지갑을 보고 나니 체험학습 비 달라는 말을 못하겠어.집안 사정이 좋지 않아서 체험학습비가 필요하다고 말씀드려야 하는데 입이 떨어지질 않더라.부모님이 부담스러워 하지 않으실까?
3	곧 은퇴인데 퇴직금이 생각보다 적게 나와 실망했어.퇴직금으로 새로운 사업을 시작하려 했는데 돈이 모자라. 
5	내가 은퇴하면 같이 일자리를 알아보겠다던 아내는 작년에 교통사고로 죽어서 약속을 지키지 않았어.혼자 일해서 자식들을 키우는 건 힘들어.내일 자식들과 이야기를 나누고 해결책을 찾아야겠어.
3	부모님은 내 성적에만 관심이 있는 것 같아.응. 부모님이 성적 말고도 나에게 관심을 가져주셨으면 좋겠어.부모님께 내 얘기를 많이 해 보는 게 좋을것 같아.
3	요즘은 지금의 여자 친구와 좀 더 일찍 헤어졌어야 했다는 후회가 드네.예전에 외도를 목격해서 싸우고 다시 만났는데 또 외도의 현장을 목격했거든한 번은 실수라고 생각했는데 두 번은 계속 그러겠다는 생각이 들어서 여자친구에게 헤어지자고 하려고.
5	내 친구들은 다 직장이 있는데 나만 구하지 못해서 열등감이 들어.왜 그럴까 너무 속상하고 자꾸 친구가 부러워져.계속 아플 수는 없지. 얼른 나아서 남편이랑 놀러 갈 거야.
5	직장에서 무급 휴가를 가라고 해서 충격받았어. 회사 사정이 안 좋아졌대.전보다 실적도 안좋고 적자가 심하다고 들었었어. 근데 내가 무급 휴가를 가야 할 줄은 상상도 못 했어.어쩔 수 없이 여행을 가거나 친구들 만나야지.
5	나에게 오백만 원을 빌려간 김 영감은 십 년이 지나도록 갚지 않고 있어.빌릴 때 금방 돌려준다고 해놓고 모르쇠하고 있으니 너무 화가 나.관련 기관에 문의를 해봐야겠어.
3	오랜만에 친구를 만났는데 너무 힘들어 보여서 내가 다 슬펐어.많이 힘들어 보여서 무엇 때문에 힘들어 하는지 쉽게 물어보지도 못했어.멀리서라도 힘이 되어 주고 싶어. 옆에서 응원해주는 사람이 있다면 큰 힘이 될지도 몰라.
5	나이가 들면서 체중 조절이 안 돼서 운동하려고 했는데 주위 사람들이 살이 찐 나의 모습을 쳐다봐서 상처를 받았어.모르겠어. 운동을 해야 한다고는 생각하는데 의욕이 없어지네.
5	요즘 아이들이 나를 점점 어려워하고 멀리하는 것 같아.속상하기보다는 내가 지금까지 키워주고 있는데 부모의 역할이 점점 작아지는 것 같아.그렇기도 하고 부모의 입장에서는 약간은 고생만 한 것 같아서 억울해.
5	회사에서 따돌림당해서 괴로워. 팀원 전체가 나하고만 말을 안 해.안 그래도 이 회사를 계속 다녀야 하나 말아야 하나 고민이야.이직 준비하고 있어. 막상 어디로 가야 할지 모르겠지만.
3	나 지방으로 발령이 났어. 갑자기 생긴 일이라 당황스러워.가족들과도 떨어져 살아야 할 것 같아.가족들과 상의하고 회사 상사와도 상의해야겠어.
3	운동을 아무리 열심히 해도 아무 소용이 없네.운동 좋아하고 열심히 움직이면 뭐 해. 당뇨병이라는데.헬스장에 가서 땀을 좀 빼고 생각해볼래.
5	남편이 은퇴를 한 나를 보고 대책이 없다며 크게 화를 냈어!그 동안 열심히 일했는데 수고했다는 말은커녕 화를 내서 상처 받았어.남편한테 상처받았다고 속상하다고 말 할 거야.
3	이번에 새로 맡게 된 프로젝트 하면서 너무 힘들어. 예전에는 거뜬히 해냈는데 이제는 체력이 부족해서 훨씬 힘드네.몇 년 전 체력과 다르니 슬픈 기분이 들어.
3	허리디스크를 예방하고자 등산 동호회에 가입신청을 했는데 사람이 너무 많아 떨어졌어.요즘은 하고자 하는 일들이 잘 안되면 자신감이 없어지고 힘이 빠지네.저녁에 친구랑 만나서 소주 한잔이라도 하면서 이야기 나눠야겠어.
3	난 강아지를 키우고 싶은데 아내가 별로 안 좋아해.예전부터 아내는 동물을 안 좋아했어. 하지만 키우고 싶은 걸 어떡해.아내가 기분 좋은 날 다시 얘기해 봐야지.
3	주변 사람들의 모습을 보고 실망했어.사람들이 너무 진실하지 못해.응. 너무 속이더라고.
3	회사 동료였던 부장이 퇴직하고 얼마 안 지나서 고혈압으로 쓰려졌어.회사에서 스트레스가 많았는지 퇴직하고 바로 쓰러졌어. 너무 슬퍼.병문안 가보고 저 친구랑 같이 있는 시간 좀 늘려야겠어.
5	오빠는 일이 없나 봐. 항상 혼자 방에 틀어박혀 있어. 그런 오빠가 좀 걱정돼.맞아. 오빠가 일도 없이 방에만 있으니까 외로워 보이거든.일단 오빠한테 고민 상담이라도 해줄까 봐.
3	나는 회사에 입사하면 내 삶이 달라질 줄 알았는데 그냥 더 피곤하기만 해.돈 버는 기계가 된 기분이야. 그렇다고 통장에 돈이 많지도 않고.일단 사고 싶었던 옷을 하나 살까 봐.나는 옷을 엄청 좋아해서 옷 쇼핑하는 게 기분 푸는 데에 최고야.
3	아들이 힘들다고 고민을 털어놓은 적이 있는데 내가 너무 대수롭지 않게 생각 했었나 봐.아들이 힘든데도 나한테 더 이상 말하려 하지 않는 걸 보니 예전에 그랬던 게 후회 돼.지금은 아내와 이야기를 하는 것 같으니 아내한테 말해서 같이 보는 게 좋겠어.
5	내가 부모님께 드리려고 만든 요리를 부모님이 한 입도 먹지 않았어.맞아. 심지어 바쁘다면서 알아서 먹고 치우라고만 하더라.다음번엔 미리 말씀을 드린 뒤 도시락으로 만들어 보려고.
5	노인들이 아무 이유 없이 나와 있으면 불편하다고 해서 나는 너무 억울해.나는 그 노인들과 친해지고 싶은데 나와 전혀 말을 안 해.막걸리 한잔 하면서 다시 먼저 말을 걸어 봐야겠어.
5	나 살고 싶지 않아.아내가 매일 술 마시고 늦게 들어와서 속상하고 괴로워.화도 나고 스트레스도 많이 받아.
3	노후준비하는 데에 있어서 너무 화가 나.노후준비를 위한 프로그램이 사회에 잘 준비되어 있지 않은 것 같아.시간이 없어서 딸들에게 같이 알아봐 달라고 했는데 아이들은 관심이 없는 것 같아.
5	며칠 전에 충격스러운 일이 있었어.오랜만에 친구들 모임에 나갔는데 친구 중 하나가 내가 너무 살이 쪘다는 거야.응. 순간 친구들이 전부 살이 왜 이렇게 쪘냐고 그래서 창피하고 충격받았지.
3	치매증상이 나타나서 남편이 계속 옆에 있어줘야 하는 게 마음이 아파.나 때문에 친구 만나러 나가지도 못하고 포기하는 것들이 많으니까 괜히 미안해지더라고.치매증상이 더 심해지기 전에 남편이랑 밥 먹으면서 고맙다고 얘기하려고.
5	이제까지 우리 집은 가난한 줄만 알았는데 아빠가 숨겨놓은 재산이 있다고 하셨어.숨겨놓은 재산이 어느 정도 되는 걸까? 이제 가난하게 살지 않아도 되는 걸까?이제까지 왜 숨기셨던 걸까? 아빠가 우리 가족을 싫어해서 그런 건지 물어봐야겠어.
5	청각 장애를 가진 내 친구는 마스크를 써야 하는 요즘 많은 불편함을 느껴.친구와 의사소통도 어려워서 정말 힘든 일이 보통이 아니야.요즘은 마스크가 투명으로 되어있는 게 있더라고. 친구를 만날 땐 그걸 써야겠어.
5	내가 한 일이 아닌데 남편이 나를 몰아세웠어.억울하지만 남편이랑 다시 이야기해 봐야지.
3	요즘은 사람들을 못 만나서 답답해.코로나 때문에 만나기가 쉽지 않은데 직접 만나서 해야 할 이야기들도 있어서 난감해.
5	출산은 여자 몸만 너무 상하는 것 같아.남자는 아무 일도 없는데 나만 이렇게 애 낳고 망가지니 희생양이 된 기분이야.그래도 아이를 보면 정말 예뻐. 좋아.
3	이번에 정말 열심히 했는데 실망이야! 우리 연구주제가 채택되지 않았어.응 왜 선정되지 못했을까? 채택되어 지원이 들어오면 정말 성공적인 연구 성과를 낼 수 있었단 말이야.
3	건강은 믿을 것이 못 돼. 갑자기 고혈압이라니 너무 낙담했어.평생 계속 약을 먹어야 한다는군. 너무 운동을 안 했었나 봐 이제라도 시작해야지.우선 자전거를 타야겠어.
5	내 동기가 학점도 잘 받고 교수님들이랑도 친해서 부럽고 질투 나.응. 아무래도 내가 걔 보다 못생겨서 그런 거 같아.나랑 걔랑 학점도 비슷하고 다 비슷한데 걔만 이쁨받으니까.
3	대학가는 것 이외에는 생각해본 적이 없어서 앞으로 어떻게 해야 할지 잘 모르겠어.미래에 대해서 생각해본 적이 없어 아직까지. 목표나 꿈이 보이지 않아.여러 가지 많은 것들을 경험해보면 좋을 것 같아.
5	아 요즘 외롭다.요즘 남편도 바빠서 늦게 오고 애들도 늦게 오고 그러니 도통 얘기할 시간도 없고 나만 고립된 기분이야.
5	계속해서 아빠와 트러블이 생겨.아빠와의 관계가 개선되지 않다 보니 마음이 괴로워.
3	내가 심근경색증으로 한 번 죽을 고비를 넘겼어. 그 뒤로 죽음이 너무 두려워.응. 그때 힘들었던 기억이 계속 떠오르면서 다음에도 그럴 것 같아 무서워.평소에 운동을 조금씩 하면서 내가 죽을 거라는 생각을 떨쳐버리는 게 최선인 거 같아.
3	이번 생에서는 글렀어. 난 실패한 것 같아.결혼하지 못할 것 같은 생각에 속상해. 이대로 늙어 죽게 되겠지.매번 오래 가지 못하고 헤어지고 말아. 다음번 연애에서는 내 최선을 다해볼 거야.
3	엄마가 친구들하고 잘 지내냐고 물어보시는데 갑자기 눈물이 나왔어.요즘 친구들이 나를 따돌려서 마음이 힘들었거든.엄마한테 도움을 요청해봐야겠어.
3	이번에 아내가 또 유산했어.그냥 계속 좋은 이야기를 많이 하는 게 좋을 것 같아.
5	나 오늘 헤어졌어. 여자 친구가 바람을 피웠더라고.진짜 배신 당한 기분이야. 어떻게 바람을 필 수 있어?나도 여자 소개를 받아서 새로운 사람을 만날거야.
3	요즘 남편이랑 자꾸 부딪혀서 심란해.남편은 자꾸 아이를 낳자고 해. 내가 나를 포기하고 잘 키울 수 있을지도 아직은 자신이 없거든.
5	아픈데 혼자 있으니 너무 외롭고 서러워.있긴 한데 연락하기가 좀 망설여지네.너무 걱정할 것 같아서 말이야. 근데 혼자서 밥도 못 먹고 너무 힘들어서 도움을 요청해야겠어.
3	결혼할 수 있을지 모르겠어.아직 어리다고 생각하지만 아무래도 결혼하지 못할 것 같아결혼할 상대도 없고 그런 상대를 찾아 나서기도 귀찮고 힘들어.
3	퇴직금을 받으니 이제 남은 인생이 실감이 나네.계획을 세우지 않았어. 단지 그동안 나를 위해 살지 못한 게 서러운 생각이 들어.
5	친구 중에 예쁜 친구가 있는데 주변에서 계속 그 친구 전화번호를 나한테 물어봐서 기분 나빠.그니까 말이야 물어보고 싶으면 직접 물어보든지 왜 굳이 나한테 물어보는 거야 나만 기분 나쁘잖아.앞으로는 나한테 물어보지 말고 친구한테 직접 물어보라고 말해야겠어.
5	자식들한테 집 주소 좀 알려달라니까 끝까지 알려주지 않아. 배신감에 너무 화가 나.어떻게 다 키워놓았더니 저렇게 나를 배신하는지. 속이 터져.이제 아들딸 생각 안 하고 살려고. 나를 위해 돈도 쓰고.
5	남편 벌이가 시원치 않아. 나도 남들처럼 돈 잘 버는 남편 만나 여생 피고 싶어.한 달 벌어 한 달 쓰는 게 고작이야. 돈 한 번 펑펑 써보고 싶어.남편 정년이 곧 다가오니까 그걸로 펀드 같은 걸 해봐야겠어.
5	선생님이 공부를 잘하는 친구들만 챙겨 주시고 나는 챙겨 주지 않아.나도 성적을 올리면 선생님이 챙겨 주실까?
3	진료받으러 왔다가 진상 환자 때문에 우는 간호사를 보고 있으면 우리 손녀가 생각나서 짠해.우리 손녀도 간호사를 하는데 저런 취급을 당할 걸 생각하니 너무 슬퍼.손녀가 힘이 나도록 나도 뭔가 해봐야겠어.
5	회사에서 억을 한 일이 있었어.내가 하지 않은 업무인데 내가 한 거라고 의심을 받았어.
3	며칠 전 믿었던 친구가 갑자기 백만 원만 빌려줄 수 있겠냐고 하더라고.너무 다급해 하기에 일단 백만 원을 송금해 줬어. 근데 석 달째 연락이 아예 안 닿아.정말 오래된 친구인데 일단 돈을 함부로 빌려준 게 후회되고 마음이 너무 상했어.
5	딸이 내가 아프다는 걸 알면서도 오지 않았대. 어떻게 이럴 수 있을까.나한테 섭섭한 게 있다고 말해서 그냥 무시했었는데 설마 그거 때문에 그런가 싶어.몸이 나으면 딸이랑 대화를 좀 더 나눠봐야겠어.내 몸부터 얼른 나을 수 있도록 회복에 전념해야지.
5	암판정을 받고 나니까 아내가 이혼서류를 내밀었어.그렇지. 그런데 버려진 것 처럼 씁쓸하더라고.그 사람은 내 병을 돌봐줄 만큼 사랑하지 않았나봐.
5	나랑 같은 나이대 녀석들은 친구도 잘 사귀는데 난 사교성이 없어서 그런지 친구가 많이 없어서 힘드네.내일부터 경로당에 가 봐야지.
3	자꾸 뒷머리가 띵하니 아프네.모르겠어. 평생 내 몸 전혀 돌보지 않고 주위만 돌보며 산 게 후회스러워.지금이라도 종합검진을 받아보려고 해.
3	아침마다 회사에 출근하는 것이 너무 괴로워.우리 회사는 왜 재택근무 실시를 안 하는 걸까. 친구들은 다 하고 있다는 말을 들으니 우울해져.
5	난 어릴 때부터 형제가 없었어. 가끔 다른 친구들이 동생 이야기를 하는 것을 보면 외로움을 느껴.종종 다른 친구들이 하는 형제에 관해 이야기를 듣다 보면 내가 혼자 동떨어진 것 같기도 해.일단 부모님께 말씀드리는 게 좋을 것 같아. 이렇게 우울하게 있을 수만은 없으니까.
5	내 나이가 마흔인데 우리 집은 아직 월세라서 착잡해.자녀들도 있는데 너무 내가 밉고 슬프다.내가 가족들을 위해서 더 열심히 일해야겠어!
3	부모님 이혼하시고 나서부터 마음이 허전해.맞아. 같이 살 땐 꽉 차보였는데 지금은 텅 빈 느낌이라 되게 우울해.
3	요즘 집에 들어가도 말 붙여주는 사람이 없으니 우울하네.다들 자기 일하느라 바빠서 오는 줄도 모르더라고.앞으로는 당분간 맛있는 걸 사들고 들어가 보려고.
3	결혼할 때가 되었는데 너무 속상해.막상 준비된 게 아무것도 없는 것 같아서 지금까지 뭐 했나 회의감이 들어.현실적인 문제들이 너무 많아서 어떻게 해결해야 할지 모르겠어.
3	요즘 재정 상황이 내 마음먹은 대로 좋아지지 않아서 실망스러워.나이가 먹을 수록 고혈압 때문에 먹어야 되는 약들이 많아져서 병원 지출이 늘어났거든.
3	친구와 싸웠는데 너무 답답하고 눈물만 계속 나.사소한 의견 차이였는데 감정싸움으로 번져서 결국 크게 싸우고 말았어.친구에게 먼저 다가가서 진지하게 이야기를 나눠볼까 생각 중이야.
5	직장동료들이 나에게 일을 모두 떠넘긴 채 휴가를 가버려서 너무 속상해. 나만 희생하는 것 같아 스트레스받아.다시는 이런 일을 겪고 싶지 않은데 어떻게 해야 할까 고민 중이야.아무래도 직장 동료들과 다 같이 이야기를 나누어보는 게 좋을 것 같아.
3	부모님이 또 약속을 어기셨어. 그래서 실망스러워.이번 약속만큼은 꼭 지켜주실 거라 믿었는데.글쎄. 다들 바쁘니까 대화를 나누는 횟수가 많진 않아.
5	친구들 모임에 오랫동안 안 갔더니 애들이 나를 소외시키는 기분이 들어.친구들은 내가 자기들에 대한 마음이 식은 줄 아는 것 같아. 속상해.시간을 쪼개서라도 모임에 나가야겠어.
5	갑작스럽게 큰 돈이 나갈 일이 생겨서 큰일이야. 당장 이 일을 해결하면 이번 달 생활비는 어떡하지?일단 자식들한테 돈을 빌려봐야겠어. 아이들한테 이런 부탁이라니 너무 미안하고 괴롭네.
3	나 공부 열심히 했는데 성적이 잘 안 나와서 너무 슬퍼.난 스스로 해서 이루고 싶은데 자꾸 한계가 느껴지네.
5	내 애인이 남자인 것을 알고 부모님이 울면서 반대를 하셨어. 너무 괴롭고 힘들어.부모님은 내가 동성애자인 것을 받아들이시지 않아. 어떡하면 이해해 주실까?마주 보고 대화를 하기에는 감정이 너무 앞서니깐 편지를 적어볼까 해.
3	친구가 없는 것 같아 외로워.혼자서 할 수 있는 재미있는 취미가 있으면 좋을 것 같아.
3	젊은이들이 나를 나이가 많다고 하찮게 여기는 것 같아 슬퍼.나도 젊었을 때 능력이 있었는데 인정받지 못해 화가 나.다시 내 전문분야에서 일을 시작하고 싶어.
5	친구가 이번에 피아노 실기시험에서 에이를 맞았어. 나보다 못했는데.나는 단조로운 곡을 해서 그런가 봐. 친구는 빠른 템포에 경쾌한 곡이었거든. 다음에는 나도 경쾌한 곡을 정해야겠어.
5	우리 남편과 시어머니가 너무 미워. 남편은 해고당했고 어머니는 그것도 모르고 돈타령하셔.어머님은 항상 돈타령이셨어. 이런 상황도 모르고 모은 돈이 얼마냐고 하셔서 힘들어.항상 생활비는 드렸는데 이번에 아프셔서 더 그러신 것 같아. 남편과 상의 해봐야겠어.
5	의사가 더 이상 치료가 소용이 없대. 암울해.그냥 요양이나 하면서 기적적으로 완화되는 것 말고는 방법이 없대. 시한부 인생이네.그냥 권유 받은 대로 요양이나 하면서 최대한 진행을 늦추려고 해야 할 것 같아.
5	결혼을 늦게 하다 보니 아이들 교육을 나이가 들어서까지 하게 되네.다른 사람들보단 조금 늦었어. 지금 내 나이에 아이들 다 키워놓고 자기만의 시간을 갖는 친구들이 많아.그 반면에 남편은 취미생활 다 누리고 난 친구들도 못 만나고 항상 살림하는 주부로만 살았네.
3	나 동료들끼리 있어도 뭔가 우울해.모르겠어. 저번 주부터 그랬던 거 같은데.
3	아픈 곳도 없고 건강한데 나이가 많다고 등산 동호회 가입을 거절당해서 슬퍼.세월이 야속하게만 느껴지니 더욱더 슬퍼서 눈물이 나.내가 직접 노인을 위한 내가 직접 만들 거야.
3	이제 곧 육십인데 노후준비가 돼 있질 않아서 걱정이야.아니 얼마 전 남편이 은퇴를 했어. 준비 없이 갑작스럽게 은퇴를 하게 돼서 더욱 걱정이 돼.내가 볼 때 남편은 아직도 건강하고 직능 수행력도 좋아서 은퇴를 하기엔 너무 아까운 인재인 것 같아.
3	나를 잘 챙겨주던 간호사가 안 보여서 물어보니 그만뒀대.맞아 정말 허전해. 그 간호사를 만나 고마웠다는 인사라도 전해주고 싶어.지금 나를 챙겨주는 간호사에게 말을 전해달라고 해야겠어.
3	매일 똑같은 일상과 똑같은 일을 반복하다 보니 미칠 것 같아.무언가 다른 자극이 없을지 찾고 있어.똑같은 일상에서 벗어나기 위해 간단한 운동을 시작해야겠어.
5	남편이 금전적 문제 때문에 나랑 사는 게 힘들데.금전적인 문제로 이러니까 더 속상해.남편이랑 대화를 통해 서로 생각을 들어보는 게 가장 좋은 방법인 것 같아.
3	자식이 결혼을 한다는데 우울하네.이것저것 해주고 싶은데 그렇게 못하니 우울해.여유가 있으면 얼마나 좋겠어?
5	정말 나만 두고 모두 출장 갔더라. 어쩜 이럴 수가 있는지 너무 속상해.다들 내가 불편한가 봐. 내가 나이가 많아서 그런가.그냥 내가 맞춰 나가야지. 속상해도 뭐 어쩌겠어.
5	같은 맞벌이를 하는데 아내가 나에게 모든 집안일과 육아를 원해.맞아. 나눠서 하면 모를까 전부 다는 할 수가 없어.오늘 저녁에 저녁밥을 먹으며 분담에 대해 이야기를 해봐야겠어.
3	처음 일하는 신입 사원을 너무 심하게 야단친 것 같아 후회돼.그렇게까지 심하게 안 해도 됐는데 순간 감정에 치우치다 보니 실수한 것 같아.신입사원을 좀 다독이고 그 당시에는 내가 심했다고 사과해야겠어.실수 가지고 너무 몰아세웠나 미안해서 말이야.
3	친구들은 나와 다르게 다들 행복한 결혼 생활을 하고 있는 것 같아. 부럽고 눈물이 나네.다들 남편이랑 여행도 다니고 아이들이 말도 잘 듣는 것 같아. 우리 집은 안 그렇거든.남편에게 결혼생활이 너무 힘들고 지친다고 말해야겠어. 그래야 뭐라도 해결 할 수 있을 거 같아.
3	낚시 동호회에서 만난 사람이 갑작스런 사고로 죽어서 친해질 기회를 잃었어.요즘은 부쩍 갑작스럽게 죽거나 지병으로 죽는 사람들이 많아서 두렵고 슬퍼.오랫동안 만나지 못한 친구에게 안부 전화하려고 해.
5	언제나 울상인 나와 달리 활짝 웃을 수 있는 아이들이 부러워.나는 항상 불행하거든. 내 주변에는 불행한 일밖에 일어나지 않아.모르겠어. 나는 행복해질 수 있을까?
